Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"5.00100","0.00000","-0.00129"
"5.01100","0.00000","-0.00323"
"5.02100","0.00000","-0.00156"
"5.03100","0.00000","0.00458"
"5.04100","0.00000","0.01007"
"5.05100","0.00000","0.01078"
"5.06100","0.00000","0.00468"
"5.07100","0.00000","-0.00265"
"5.08100","0.00000","-0.00677"
"5.09100","0.00000","-0.00358"
"5.10100","0.00000","0.00362"
"5.11100","0.00000","0.00760"
"5.12100","0.00000","0.00865"
"5.13100","0.00000","0.00441"
"5.14100","0.00000","-0.00200"
"5.15100","0.00000","-0.00311"
"5.16100","0.00000","0.00046"
"5.17100","0.00000","0.00403"
"5.18100","0.00000","0.00420"
"5.19100","0.00000","0.00226"
"5.20100","0.00000","0.00077"
"5.21100","0.00000","0.00357"
"5.22100","0.00000","0.00799"
"5.23100","0.00000","0.00626"
"5.24100","0.00000","0.00314"
"5.25100","0.00000","-0.00110"
"5.26100","0.00000","-0.00395"
"5.27100","0.00000","0.00040"
"5.28100","0.00000","0.00553"
"5.29100","0.00000","0.00946"
"5.30100","0.00000","0.00892"
"5.31100","0.00000","0.00307"
"5.32100","0.00000","-0.00477"
"5.33100","0.00000","-0.00660"
"5.34100","0.00000","-0.00047"
"5.35100","0.00000","0.00579"
"5.36100","0.00000","0.01074"
"5.37100","0.00000","0.01210"
"5.38100","0.00000","0.00743"
"5.39100","0.00000","0.00195"
"5.40100","0.00000","-0.00379"
"5.41100","0.00000","-0.00485"
"5.42100","0.00000","-0.00065"
"5.43100","0.00000","0.00164"
"5.44100","0.00000","-0.00096"
"5.45100","0.00000","-0.00105"
"5.46100","0.00000","0.00366"
"5.47100","0.00000","0.00607"
"5.48100","0.00000","0.00787"
"5.49100","0.00000","0.00520"
"5.50100","0.00000","-0.00176"
"5.51100","0.00000","-0.00559"
"5.52100","0.00000","-0.00755"
"5.53100","0.00000","-0.00534"
"5.54100","0.00000","0.00036"
"5.55100","0.00000","0.00844"
"5.56100","0.00000","0.01236"
"5.57100","0.00000","0.00749"
"5.58100","0.00000","-0.00094"
"5.59100","0.00000","-0.00688"
"5.60100","0.00000","-0.00687"
"5.61100","0.00000","-0.00531"
